"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"Regulatory / Activated CD4 T cells","Classical Monocytes","MIF","CD74_CD44",0.117536322014951,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"Classical Monocytes","Classical Monocytes","NAMPT","ITGA5_ITGB1",0.117390454617648,0,"NAMPT_ITGA5_ITGB1","NAMPT - (ITGA5+ITGB1)","VISFATIN","Secreted Signaling","PMID: 28490838"
"MAIT / CD161-like T cells","MAIT / CD161-like T cells","HLA-B","CD8A",0.117297845669111,0,"HLA-B_CD8A","HLA-B - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"Conventional Dendritic Cells","C1Q+ Monocytes","HLA-DRB1","CD4",0.117110614934834,0,"HLA-DRB1_CD4","HLA-DRB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Gamma-delta Cytotoxic T cells","MAIT / CD161-like T cells","CD22","PTPRC",0.117017891226645,0,"CD22_PTPRC","CD22 - PTPRC","CD22","Cell-Cell Contact","KEGG: hsa04514"
"MAIT / CD161-like T cells","Gamma-delta Cytotoxic T cells","PTPRC","CD22",0.117017891226645,0,"PTPRC_CD22","PTPRC - CD22","CD45","Cell-Cell Contact","PMID: 12115612"
"Conventional Dendritic Cells","Conventional Dendritic Cells","MIF","CD74_CXCR4",0.116948641518208,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Platelets","MAIT / CD161-like T cells","CD99","CD99",0.116924998808497,0,"CD99_CD99","CD99 - CD99","CD99","Cell-Cell Contact","KEGG: hsa04514"
"MAIT / CD161-like T cells","Platelets","CD99","CD99",0.116924998808497,0,"CD99_CD99","CD99 - CD99","CD99","Cell-Cell Contact","KEGG: hsa04514"
"NK cells","Conventional Dendritic Cells","MIF","CD74_CXCR4",0.116919075293141,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Gamma-delta Cytotoxic T cells","Regulatory / Activated CD4 T cells","CD22","PTPRC",0.116510801279074,0,"CD22_PTPRC","CD22 - PTPRC","CD22","Cell-Cell Contact","KEGG: hsa04514"
"Regulatory / Activated CD4 T cells","Gamma-delta Cytotoxic T cells","PTPRC","CD22",0.116510801279074,0,"PTPRC_CD22","PTPRC - CD22","CD45","Cell-Cell Contact","PMID: 12115612"
"NK cells","MAIT / CD161-like T cells","HLA-C","CD8A",0.116408117766267,0,"HLA-C_CD8A","HLA-C - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"Myeloid cells","Classical Monocytes","NAMPT","ITGA5_ITGB1",0.116294220544182,0,"NAMPT_ITGA5_ITGB1","NAMPT - (ITGA5+ITGB1)","VISFATIN","Secreted Signaling","PMID: 28490838"
"Plasma cells","Gamma-delta Cytotoxic T cells","MIF","CD74_CXCR4",0.116249964060683,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Plasma cells","Conventional Dendritic Cells","MIF","CD74_CD44",0.116172591061386,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"NK cells","NK cells","HLA-E","CD94:NKG2E",0.115972692959403,0,"HLA-E_CD94:NKG2E","HLA-E - CD94:NKG2E","MHC-I","Cell-Cell Contact","PMID: 28484462"
"Monocytes","Gamma-delta Cytotoxic T cells","APP","CD74",0.115729290947355,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"C1Q+ Monocytes","Myeloid cells","ADGRE5","CD55",0.115555771913237,0,"ADGRE5_CD55","ADGRE5 - CD55","ADGRE5","Cell-Cell Contact","PMID: 11297558"
"Plasma cells","Naive B cells","HLA-E","KLRK1",0.115254200604892,0,"HLA-E_KLRK1","HLA-E - KLRK1","MHC-I","Cell-Cell Contact","PMID: 28484462"
